elapsed_sec,raw_x,raw_y,raw_z
2.836,5676,-120,14868
2.848,5408,72,14700
2.863,5580,-16,14796
2.874,5732,516,15228
2.885,6088,1128,15396
2.896,6044,1868,15504
2.906,5884,1712,15040
2.917,5756,872,14668
2.927,5752,404,14740
2.938,5744,488,14868
2.95,5772,936,15112
2.961,5772,1008,15108
2.977,5928,836,15184
2.988,5896,764,15076
2.998,5980,652,14792
3.009,5884,324,14788
3.019,5720,-112,14700
3.031,5688,-280,14556
3.048,5760,-20,14884
3.065,5696,-44,14836
3.076,5872,-60,14980
3.094,6012,452,14864
3.122,5884,588,14984
3.133,5728,508,15108
3.143,5820,68,15020
3.155,5924,40,15004
3.171,6156,444,15188
3.187,5884,484,15136
3.204,5640,-160,14752
3.22,5540,-772,14492
3.235,5504,-1092,14672
3.25,5692,-804,14752
3.289,6076,-224,15168
3.3,5984,116,14796
3.31,5960,92,14728
3.321,5352,-276,14848
3.332,5388,-1308,14588
3.343,5492,-2828,13280
3.36,5580,-1824,13960
3.376,6452,-240,15692
3.393,6860,1896,16364
3.409,6708,3344,15804
3.434,6500,2596,15596
3.445,5836,-284,14352
3.456,5764,-3380,12748
3.47,4800,-2456,14508
3.486,5956,-2152,13632
3.502,5040,-1324,14188
3.516,5940,-504,15180
3.532,6984,812,15716
3.549,6048,1524,16192
3.564,6760,856,15628
3.595,6068,-260,15072
3.606,5660,-2160,14204
3.616,5256,-3584,13700
3.628,5384,-3348,13508
3.642,5196,-1628,14208
3.659,6352,996,15292
3.674,7296,3904,16588
3.687,7236,5268,16132
3.704,6368,1996,15024
3.723,5644,-1324,13844
3.75,5548,-3192,13200
3.762,5172,-3200,13324
3.772,5692,-1788,14112
3.782,6136,-280,14860
3.798,6840,916,16084
3.814,7592,2476,16768
3.831,6840,2488,15884
3.847,6124,956,15104
3.86,4896,-1856,13728
3.876,4908,-4048,13412
3.904,5344,-3996,13588
3.915,5720,-2532,14524
3.927,6056,-472,15020
3.941,6316,420,15280
3.954,6716,868,15112
3.97,6392,1036,15908
3.987,6176,-28,14964
